Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.05,-.35,-.13,-.02,-.80,-.43,-.26,-.16,-.10,-.04,.05,.63
1881,-.08,-.16,.00,-.32,.10,-.07,-.90,-.40,-.18,.10,.11,-.05,-.07,.56
1882,-.10,-.19,-.01,-.28,-.05,.01,-1.40,-.23,-.11,-.05,-.05,.01,.04,.59
1883,-.16,-.26,-.07,-.31,-.16,-.01,-.18,-.52,-.22,-.17,-.15,-.04,.07,.46
1884,-.28,-.41,-.15,-.58,-.15,-.14,-1.28,-.62,-.44,-.13,-.16,-.19,-.02,.61
1885,-.32,-.41,-.24,-.62,-.13,-.28,-1.46,-.64,-.44,-.05,-.20,-.33,-.15,.78
1886,-.30,-.41,-.20,-.54,-.19,-.22,-1.54,-.45,-.39,-.20,-.18,-.20,-.21,.55
1887,-.35,-.41,-.29,-.50,-.29,-.29,-1.72,-.46,-.28,-.28,-.30,-.28,-.26,.28
1888,-.16,-.21,-.12,-.39,.10,-.29,-1.26,-.37,-.23,.08,.12,-.31,-.23,.12
1889,-.10,-.15,-.05,-.27,.08,-.17,-.64,-.17,-.26,.03,.13,-.16,-.16,.41
1890,-.35,-.37,-.33,-.44,-.37,-.23,-1.09,-.53,-.27,-.26,-.48,-.18,-.27,.11
1891,-.22,-.24,-.20,-.41,-.08,-.22,-1.11,-.29,-.36,.01,-.17,-.18,-.24,-.19
1892,-.27,-.38,-.16,-.42,-.30,-.09,-1.15,-.61,-.17,-.32,-.27,.02,-.22,.05
1893,-.31,-.46,-.16,-.50,-.36,-.05,-.70,-.50,-.46,-.41,-.31,.06,-.20,-.08
1894,-.30,-.37,-.22,-.31,-.33,-.24,-.96,-.28,-.18,-.47,-.19,-.15,-.35,-.41
1895,-.22,-.28,-.16,-.38,-.07,-.26,-.65,-.47,-.26,-.13,-.01,-.20,-.32,-.62
1896,-.11,-.18,-.04,-.33,.10,-.16,-.89,-.32,-.21,.06,.13,-.16,-.13,.22
1897,-.11,-.15,-.06,-.33,.17,-.24,-.55,-.42,-.23,.14,.19,-.20,-.27,.37
1898,-.26,-.26,-.27,-.31,-.23,-.27,-1.09,-.16,-.22,-.18,-.28,-.28,-.21,.34
1899,-.17,-.19,-.15,-.21,-.12,-.19,-.99,-.05,-.14,-.16,-.09,-.16,-.22,.55
1900,-.08,-.07,-.07,-.17,.17,-.30,-.52,-.09,-.15,.09,.24,-.29,-.29,.23
1901,-.15,-.11,-.19,-.14,-.04,-.31,-.39,-.07,-.13,-.06,-.02,-.28,-.34,.22
1902,-.28,-.32,-.23,-.52,-.04,-.35,-1.38,-.48,-.32,-.02,-.06,-.28,-.43,-.08
1903,-.37,-.37,-.37,-.45,-.29,-.39,-.26,-.39,-.55,-.23,-.34,-.35,-.40,-.50
1904,-.47,-.47,-.47,-.49,-.47,-.44,-.16,-.56,-.54,-.44,-.51,-.37,-.49,-1.32
1905,-.26,-.28,-.24,-.39,-.10,-.36,-.03,-.19,-.61,-.12,-.07,-.33,-.37,-.34
1906,-.22,-.22,-.22,-.24,-.20,-.24,-.25,-.03,-.38,-.21,-.20,-.21,-.22,-.72
1907,-.39,-.46,-.31,-.57,-.31,-.30,-.55,-.69,-.51,-.30,-.33,-.21,-.37,-1.20
1908,-.43,-.44,-.41,-.46,-.44,-.36,-.21,-.51,-.51,-.41,-.48,-.29,-.48,.67
1909,-.48,-.48,-.49,-.51,-.49,-.44,-.72,-.58,-.43,-.44,-.54,-.38,-.52,-.57
1910,-.43,-.43,-.43,-.40,-.49,-.38,-.56,-.21,-.49,-.48,-.50,-.33,-.45,.16
1911,-.44,-.42,-.46,-.41,-.43,-.48,-.28,-.39,-.46,-.43,-.43,-.44,-.53,.05
1912,-.36,-.45,-.25,-.58,-.19,-.37,-.49,-.76,-.49,-.27,-.10,-.37,-.29,-1.64
1913,-.34,-.42,-.27,-.43,-.28,-.35,-.46,-.30,-.50,-.40,-.16,-.28,-.40,-1.04
1914,-.15,-.19,-.12,-.23,-.07,-.18,-.32,-.13,-.28,-.12,-.02,-.16,-.18,-.37
1915,-.14,-.14,-.14,-.22,-.02,-.22,-.58,-.14,-.18,-.01,-.03,-.15,-.23,-1.99
1916,-.36,-.41,-.31,-.36,-.46,-.23,-.46,-.51,-.24,-.50,-.41,-.23,-.17,-1.05
1917,-.46,-.57,-.36,-.49,-.64,-.19,-.79,-.47,-.43,-.69,-.59,-.23,-.10,.06
1918,-.29,-.39,-.20,-.39,-.34,-.14,-.98,-.24,-.34,-.38,-.29,-.06,-.23,-.28
1919,-.27,-.34,-.21,-.42,-.20,-.22,-.67,-.53,-.30,-.23,-.18,-.15,-.32,.19
1920,-.27,-.30,-.25,-.24,-.26,-.32,.02,-.18,-.35,-.38,-.14,-.19,-.48,-1.15
1921,-.19,-.11,-.27,.02,-.26,-.31,.01,.19,-.09,-.29,-.22,-.23,-.38,-.84
1922,-.28,-.27,-.30,-.24,-.32,-.28,-.30,-.38,-.13,-.32,-.32,-.24,-.29,-.28
1923,-.26,-.21,-.31,-.14,-.30,-.34,.18,-.13,-.25,-.32,-.28,-.26,-.41,-.55
1924,-.27,-.18,-.36,-.12,-.26,-.43,.47,-.23,-.22,-.27,-.25,-.40,-.45,-.53
1925,-.22,-.14,-.30,-.04,-.24,-.38,-.08,.20,-.18,-.28,-.21,-.24,-.55,-.86
1926,-.10,.02,-.22,.03,.02,-.40,.56,.17,-.21,.01,.02,-.35,-.45,-.64
1927,-.22,-.13,-.30,-.12,-.16,-.39,.02,-.20,-.12,-.14,-.18,-.30,-.46,-1.38
1928,-.20,-.09,-.29,-.06,-.15,-.39,.71,-.16,-.22,-.14,-.16,-.29,-.48,-2.12
1929,-.36,-.33,-.38,-.37,-.28,-.46,.14,-.60,-.38,-.27,-.29,-.43,-.45,-1.08
1930,-.16,-.01,-.29,.05,-.11,-.42,.54,.05,-.10,-.10,-.13,-.33,-.47,-2.60
1931,-.10,.05,-.22,.02,.07,-.43,.57,-.03,-.14,.09,.05,-.42,-.40,-.41
1932,-.16,-.06,-.26,.04,-.17,-.35,.49,.20,-.21,-.20,-.14,-.21,-.53,-.99
1933,-.29,-.26,-.32,-.23,-.28,-.34,-.16,-.46,-.12,-.29,-.28,-.21,-.49,-1.15
1934,-.13,.00,-.26,.18,-.26,-.26,.88,.31,-.12,-.26,-.25,-.16,-.38,-.57
1935,-.20,-.09,-.30,-.04,-.19,-.38,.34,-.04,-.16,-.17,-.21,-.31,-.42,-1.72
1936,-.15,-.03,-.26,-.02,-.13,-.30,.39,.11,-.25,-.05,-.21,-.27,-.33,-.04
1937,-.03,.12,-.18,.20,-.06,-.22,1.23,.03,-.02,.00,-.12,-.19,-.26,.36
1938,-.01,.16,-.18,.39,-.23,-.10,1.50,.39,.04,-.19,-.28,-.06,-.11,-.87
1939,-.02,.09,-.13,.23,-.12,-.12,.56,.29,.09,-.12,-.13,-.04,-.19,-1.61
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.27,.29,.03,-.20,-.06
1941,.19,.23,.17,.02,.49,-.05,.00,-.09,.09,.54,.44,.04,-.15,-.47
1942,.07,.13,.01,.13,.07,-.01,.73,-.06,.06,.11,.04,.06,-.05,-.90
1943,.09,.18,-.01,.38,-.09,.04,1.42,.28,.11,-.11,-.06,.07,-.01,1.13
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.10,.11,.26,.19,-.10,-.92
1945,.09,.10,.09,.11,.17,-.03,.63,-.02,.04,.09,.24,.04,.00,-1.76
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.03,-.08,-.22,-.24,-.15
1947,-.03,.08,-.14,.16,-.07,-.16,1.07,-.13,.04,-.04,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.13,-.19,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.36
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.21,-.05,-.29,-.14,.19,-.30,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,-.01,-.12,-.22,-.16,-.69
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.19,-.02,.04,-.10,-.02,-.50
1953,.08,.24,-.08,.35,.07,-.18,1.02,.36,.14,.08,.06,-.08,-.24,-1.10
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.28,-.17,-.20,-.80
1955,-.14,-.09,-.20,.04,-.34,-.06,-.25,-.11,.23,-.30,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.29,-.37,-.14,.02,.76
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.48
1958,.06,.15,-.02,.08,.20,-.14,-.17,.15,.12,.26,.15,-.08,-.08,-.47
1959,.03,.12,-.06,.16,.07,-.15,.48,.18,.04,.07,.08,-.03,-.26,-.32
1960,-.02,.08,-.12,.09,.02,-.19,.33,-.07,.11,.06,-.03,-.10,-.07,-.70
1961,.06,.08,.03,.19,-.03,.06,-.15,.38,.18,-.07,.00,.14,-.17,.25
1962,.04,.13,-.06,.24,-.05,-.06,.45,.31,.14,-.04,-.05,.09,-.07,-.55
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.21,-.23,-.14,-.25,-.66,-.20,-.12,-.14,-.14,-.30,-.07,-.40
1965,-.11,-.14,-.07,-.19,-.03,-.14,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.03
1966,-.06,-.02,-.09,-.14,.08,-.16,-.76,-.19,.09,.16,.00,-.24,-.14,.06
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.29
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.03
1969,.05,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.09
1970,.02,-.04,.09,-.11,.07,.10,-.21,-.13,-.06,.07,.07,.11,.03,.26
1971,-.08,-.15,-.02,-.06,-.26,.12,-.08,.01,-.10,-.29,-.22,.03,.16,.40
1972,.01,-.17,.19,-.34,.17,.14,-.37,-.47,-.24,.07,.26,.16,-.02,.40
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.08,.33
1974,-.07,-.18,.03,-.14,-.20,.17,-.18,-.07,-.18,-.23,-.17,.22,-.08,.64
1975,-.01,-.05,.02,.12,-.24,.15,.10,.39,-.05,-.30,-.17,.13,.14,.25
1976,-.10,-.21,.00,-.26,-.11,.08,-.07,-.32,-.28,-.12,-.10,.10,.22,-.27
1977,.18,.12,.23,.14,.16,.25,.16,.24,.06,.10,.21,.21,.31,.25
1978,.07,.02,.11,-.03,.08,.16,-.15,.04,-.04,.10,.05,.21,.13,.03
1979,.16,.09,.25,-.03,.26,.23,-.61,.07,.09,.26,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.28,.35,.37,.57
1981,.32,.37,.27,.48,.18,.35,1.09,.78,.09,.22,.14,.28,.39,.57
